iv_malla_modi_id;ndvi_i_primavera_pendiente;evi_i_verano_pendiente;evi_i_otono_tendencia;evi_i_verano_tau;evi_i_primavera_tendencia;ndvi_i_otono_tau;ndvi_i_verano_tau;ndvi_i_verano_pendiente;ndvi_i_invierno_tendencia;ndvi_i_verano_tendencia;evi_i_verano_tendencia;evi_i_primavera_tau;evi_i_otono_pendiente;ndvi_i_primavera_tau;evi_i_invierno_tendencia;ndvi_i_otono_tendencia;evi_i_invierno_tau;evi_i_otono_tau;ndvi_i_primavera_tendencia;ndvi_i_invierno_pendiente;evi_i_invierno_pendiente;evi_i_primavera_pendiente;ndvi_i_otono_pendiente;ndvi_i_invierno_tau
171956;58.75;229.125;0;0.363;0;-0.165;0.473;414.75;0;0;0;0.055;-10.333;0.033;0;0;-0.011;-0.033;0;-247;-4.5;51.833;-165.667;-0.099
171955;-85.333;209;0;0.516;0;0.187;0.407;377.667;0;0;0;-0.275;111.667;-0.143;0;0;-0.165;0.099;0;-182.5;-120.818;-121.75;156.571;-0.099
171954;-65;240;0;0.451;0;0.209;0.538;387.143;0;0;0;-0.209;39.625;-0.055;0;0;0.055;0.033;0;-33.714;50;-89;275;-0.033
172632;-188.5;165.4;0;0.231;0;0.033;0.319;382.2;0;0;0;-0.495;-8.6;-0.209;0;0;-0.121;-0.011;0;-169.375;-86;-289.2;58.667;-0.099
171957;-56.091;254.857;0;0.451;0;-0.099;0.451;320.375;0;0;0;0.077;-42.556;-0.011;0;0;0.033;-0.055;0;-116.2;21;44.333;-123.2;-0.099
168554;-146.667;405;0;0.495;0;0.033;0.451;544.6;0;0;0;-0.231;156.182;-0.165;0;0;0.209;0.253;0;-319.8;110.333;-138.143;20.125;-0.165
168551;-142;163.667;0;0.341;0;0.011;0.385;361.857;0;0;0;-0.033;34.5;-0.121;0;0;0.143;0.055;0;-46;135.385;-22.5;53.667;-0.077
168553;-89.4;315;0;0.363;0;-0.143;0.473;465;0;0;0;-0.099;48.545;-0.143;0;0;0.055;0.165;0;-303.333;56.857;-60.5;-144.727;-0.143
173986;-139;291.25;0;0.451;0;0.011;0.473;520;0;0;0;-0.077;-57.333;-0.033;0;0;0.099;-0.033;0;7.667;110.4;-132.583;15.667;0.011
173984;-125.5;220.5;0;0.407;0;0.099;0.495;411.6;0;0;0;-0.121;147.1;-0.077;0;0;0.187;0.231;0;24.2;144.25;-100.429;135.667;0.033
173985;-70.417;222.1;0;0.473;0;0.011;0.462;364.333;0;0;0;-0.143;21;-0.033;0;0;0.121;0.033;0;17;75.875;-133.333;7.333;0.055
173982;-75;188.778;0;0.473;0;0.143;0.516;275;0;0;0;-0.055;175.857;-0.077;0;0;0.011;0.297;0;-70.833;37.5;-44.125;126;-0.011
173983;-16.222;87.714;0;0.275;0;0.143;0.363;218.846;0;0;0;0.055;132;-0.033;0;0;-0.033;0.253;0;-36.5;-16.7;26;83.8;-0.033
173309;-16;204.4;0;0.319;0;0.209;0.385;304.857;0;0;0;-0.363;60.375;-0.011;0;0;0.033;0.077;0;-200.125;14.4;-377.727;372.5;-0.143
177387;-9;92.6;0;0.341;0;0.055;0.275;193;0;0;0;-0.165;54.222;-0.011;0;0;-0.011;0.077;0;-91.2;-4;-78;4.333;-0.264
177386;-92.083;152;0;0.275;0;0.055;0.231;183.5;0;0;0;-0.187;-40.429;-0.077;0;0;0.055;-0.121;0;-44.667;24.538;-123.667;62.667;-0.253
172626;-77.545;179.286;0;0.297;0;-0.011;0.429;337;0;0;0;-0.011;-43.091;-0.011;0;0;0.121;-0.077;0;-105.333;53.125;-34;-2.182;-0.143
172624;-114.625;240.636;0;0.56;0;0.099;0.604;342.8;0;0;0;-0.055;94.8;-0.165;0;0;0.099;0.121;0;-73.25;44.727;-42.5;59.8;-0.077
172628;-198.556;253.583;0;0.495;0;0.143;0.516;398.667;0;0;0;-0.275;158.167;-0.143;0;0;-0.055;0.187;0;-87;-11.875;-283;249.5;-0.055
183496;-14.167;67.5;0;0.275;0;0.231;0.121;66;0;0;0;-0.055;35.571;-0.055;0;0;0.209;0.055;0;45.375;76;-15.25;123.714;0.385
183497;21.875;20.714;0;0.187;0;0.165;0.209;90;0;0;0;0.011;28;0.099;0;0;0.209;0.099;0;48.857;101.364;2.923;85;0.297
169909;-153.545;378.273;0;0.582;0;-0.253;0.451;427;0;0;0;-0.011;-46.333;-0.099;0;0;0.187;-0.099;0;30.222;243.333;-15;-259.667;0.033
169908;11.333;115.3;0;0.209;0;-0.209;0.407;414;0;0;0;-0.121;-31.429;0.011;0;0;-0.121;-0.011;0;-135.333;-285.6;-46.615;-358.429;-0.077
169911;-119.364;374.9;0;0.538;0;0.033;0.363;385.333;0;0;0;-0.055;55.625;-0.121;0;0;0.077;0.099;0;134.375;71;-35.222;47.25;0.099
169910;-41;313.429;0;0.582;0;0.077;0.429;368.167;0;0;0;-0.231;135;-0.055;0;0;0.231;0.231;0;94.5;202.8;-86.833;107.6;0.077
173314;169.571;313.5;0;0.429;0;-0.033;0.473;488.25;0;0;0;-0.187;-8.167;0.099;0;0;0.033;-0.011;0;-279.5;19.333;-127.143;-117;-0.143
173313;159.25;223.2;0;0.385;0;0.143;0.385;364.25;0;0;0;-0.253;76.667;0.077;0;0;-0.011;0.011;0;-354.25;-4;-140.714;169.25;-0.121
184855;15;20.8;0;0.099;0;0.231;0.055;56.857;0;0;0;-0.011;26;0.033;0;0;0.231;0.055;0;26.429;95.6;-8.231;84.25;0.231
173304;-64.25;271.25;0;0.56;0;0.055;0.648;387.6;0;0;0;-0.011;180.143;-0.055;0;0;0.187;0.231;0;-60.4;99.5;-14.167;100.556;-0.143
170591;-181.286;182.8;0;0.495;0;0.077;0.341;317.667;0;0;0;-0.297;56.75;-0.209;0;0;-0.011;0.165;0;-101.9;-7.727;-99.667;107.25;-0.077
170587;-390;-64.4;0;-0.143;0;-0.319;-0.055;-97.429;0;0;0;-0.407;-475.429;-0.297;0;0;-0.297;-0.341;0;-196.375;-314.818;-412.4;-495.286;-0.187
170588;-451;-113.143;0;-0.231;0;-0.319;-0.099;-183.375;0;0;0;-0.429;-332.6;-0.297;0;0;-0.407;-0.275;0;-227.8;-711.857;-530.875;-557.8;-0.231
170589;-228.6;100.5;0;0.209;0;-0.143;0.253;175.167;0;0;0;-0.407;-175.625;-0.165;0;0;-0.209;-0.231;0;-185.5;-380.5;-305.857;-198.571;-0.121
170590;-139.167;170.909;0;0.253;0;-0.099;0.363;370;0;0;0;-0.385;-20.667;-0.187;0;0;-0.077;-0.088;0;-33.667;-44.2;-216;-100.857;-0.055
167876;108.8;292;0;0.516;0;-0.099;0.538;422.25;0;0;0;0.011;-14.167;0.121;0;0;0.099;-0.011;0;-114.5;81.25;6;-97.667;-0.055
174663;-61.667;91;0;0.231;0;0.099;0.253;120.5;0;0;0;0.055;56.364;-0.033;0;0;0.231;0.121;0;66.286;144.2;22;63.889;0.165
172637;-41.167;227.375;0;0.495;0;-0.033;0.473;412.889;0;0;0;-0.011;25;-0.033;0;0;-0.099;0.033;0;-194.3;-60.5;-14.556;-38.5;-0.143
182136;-39.6;30;0;0.11;0;0.363;0.011;3.778;0;0;0;-0.033;44.125;-0.099;0;0;0.055;0.231;0;6;12.1;-25.625;210.333;0.011
180104;54.25;43.9;0;0.143;0;0.033;0.121;68;0;0;0;0.165;11.286;0.099;0;0;-0.077;0.011;0;-18.714;-35.6;66.091;29.5;-0.099
180103;58.25;101.429;0;0.341;0;0.165;0.297;125.143;0;0;0;0.077;40.286;0.143;0;0;0.099;0.055;0;-24.571;40.5;32.167;77.833;-0.121
171951;-92.556;207.364;0;0.297;0;0.187;0.319;272.889;0;0;0;-0.297;69.455;-0.143;0;0;-0.121;0.121;0;-50;-99.625;-191.333;316.833;-0.033
171950;-48;201.375;0;0.363;0;0.121;0.385;270.6;0;0;0;-0.275;44.25;-0.077;0;0;-0.055;0.099;0;2;-116.462;-144.4;252.3;0.011
174667;106.667;192.667;0;0.516;0;0.055;0.516;292.667;0;0;0;-0.099;-90.667;0.099;0;0;-0.143;-0.033;0;-63.091;-98;-166.333;150.222;-0.055
174668;-120;166.846;0;0.319;0;0.055;0.363;279.25;0;0;0;-0.253;-38.857;-0.033;0;0;-0.055;-0.033;0;-160.5;-60.9;-244.615;104.75;-0.077
174671;138.75;278.444;0;0.385;0;0.077;0.495;398.5;0;0;0;0.077;179.333;0.033;0;0;-0.187;0.187;0;-234.75;-110.75;38.25;181;-0.165
179421;-18.875;124.333;0;0.275;0;0.033;0.253;142.333;0;0;0;0.077;15.917;-0.055;0;0;0.121;0.033;0;4.692;65.6;85;34.857;0.055
179420;83.3;27;0;0.055;0;0.011;0.033;26.75;0;0;0;0.099;40.714;0.121;0;0;0.275;0.055;0;72.667;128;84.5;13.727;0.231
179422;13.167;133.5;0;0.275;0;-0.033;0.209;169.714;0;0;0;0.099;-20.333;0.055;0;0;0.033;-0.033;0;-8.231;21.375;48.4;-6.571;-0.055
169907;-62.778;166.273;0;0.363;0;-0.209;0.407;229.75;0;0;0;-0.275;-45.875;-0.033;0;0;-0.099;-0.077;0;-188;-87.545;-188.727;-346.286;-0.121
169906;-303.429;142.6;0;0.363;0;-0.055;0.407;257.091;0;0;0;-0.363;-36.875;-0.165;0;0;0.033;-0.033;0;-169;34.556;-189.667;-59.4;-0.121
183498;-22.25;54.667;0;0.143;0;0.099;0.121;72;0;0;0;-0.165;-13.111;-0.055;0;0;0.209;-0.011;0;36;113.5;-31;123.167;0.275
177388;-92;164.125;0;0.473;0;-0.077;0.407;180.571;0;0;0;-0.231;68;-0.121;0;0;0.055;0.165;0;-40.2;40.667;-134;-32.5;-0.187
171273;-121.308;163.857;0;0.297;0;0.011;0.451;254.75;0;0;0;-0.231;-127.875;-0.275;0;0;0.011;-0.143;0;7.083;3.625;-152;40;0.011
171272;-186.5;242.143;0;0.319;0;0.055;0.407;323.154;0;0;0;-0.341;-82.333;-0.231;0;0;-0.055;-0.209;0;-116.5;-79.833;-159;61.8;-0.055
171271;-136.667;149;0;0.297;0;0.121;0.341;271;0;0;0;-0.385;-190.667;-0.165;0;0;-0.143;-0.231;0;-214.6;-400.6;-184.778;208;-0.099
171274;-4.8;273.2;0;0.429;0;0.099;0.319;290.556;0;0;0;-0.165;-51.5;-0.077;0;0;-0.088;-0.077;0;-115.917;-55.7;-40.625;115.2;-0.011
178065;-45.833;186.7;0;0.187;0;0.077;0.187;228.286;0;0;0;-0.077;-9.182;-0.077;0;0;0.121;-0.011;0;-15.889;56.167;-111.636;88.889;-0.055
178066;-106.8;51.917;0;0.165;0;0.143;0.121;62;0;0;0;-0.011;2.4;-0.11;0;0;0.055;0.033;0;-14.667;11.714;-17.667;78.667;-0.055
178067;-122.545;148;0;0.363;0;0.121;0.407;248.333;0;0;0;-0.165;77.727;-0.253;0;0;0.077;0.099;0;0.5;57.5;-100.143;71.273;0.011
167198;264.1;341.75;0;0.429;0;-0.209;0.495;409.667;0;0;0;0.077;-39.667;0.187;0;0;0.231;-0.055;0;83;102.143;57.125;-191;0.099
167197;144.714;226.455;0;0.231;0;-0.055;0.385;318.571;0;0;0;-0.099;5.182;0.055;0;0;0.143;0.011;0;-40.4;82.778;-114.143;-45.75;-0.011
167200;126.667;29.273;0;0.099;0;0.011;0.209;100.667;0;0;0;-0.011;96;0.099;0;0;0.099;0.165;0;-51.8;110.833;-17.667;49;-0.033
177385;-102.5;246.333;0;0.385;0;0.033;0.363;289.125;0;0;0;-0.165;-53.286;-0.209;0;0;-0.077;-0.077;0;-33.143;-42.667;-106.333;17.857;-0.121
177383;-78.167;161.25;0;0.341;0;0.055;0.341;259.727;0;0;0;-0.121;-93.6;-0.099;0;0;0.011;-0.143;0;-14.769;3.75;-60.6;19.5;-0.033
177381;40;22.364;0;0.077;0;0.011;0.055;26.667;0;0;0;0.055;11.091;0.033;0;0;0.143;0.011;0;3.75;48.083;77.4;3.4;0.011
177382;61.4;18.636;0;0.033;0;-0.055;0.011;42.625;0;0;0;-0.055;-39.375;0.033;0;0;0.077;-0.077;0;3.5;45;-18.3;-31.5;0.011
169233;-103.571;173.545;0;0.341;0;0.011;0.495;317.833;0;0;0;0.143;64.667;-0.121;0;0;0.297;0.165;0;-119.571;187.143;51;29.4;-0.033
172627;-54.417;232.6;0;0.495;0;-0.011;0.495;418.455;0;0;0;-0.055;-46;-0.033;0;0;0.099;-0.077;0;-52.25;101;-42;-13.182;-0.077
172625;-68;227.727;0;0.516;0;0.055;0.67;321.231;0;0;0;0.011;119.7;-0.099;0;0;0.011;0.209;0;-96.5;44.143;14.5;91.714;-0.143
172629;-11.5;266.375;0;0.451;0;0.165;0.429;403.556;0;0;0;-0.165;160;-0.033;0;0;-0.099;0.143;0;-124.5;-134.571;-111.4;383;-0.077
169919;-212.167;168.455;0;0.253;0;-0.011;0.319;242.727;0;0;0;-0.319;61.714;-0.319;0;0;-0.143;0.099;0;-151;-106;-130.4;-46.417;-0.099
169920;-97;172.7;0;0.363;0;0.077;0.385;370.571;0;0;0;-0.011;63.8;-0.143;0;0;-0.055;0.209;0;-83;-45.6;-14.5;102.571;-0.077
169917;-64.667;170.143;0;0.297;0;0.099;0.341;270.636;0;0;0;-0.319;13.75;-0.143;0;0;-0.055;0.077;0;-345.875;-55.25;-119.3;76;-0.165
169918;-99.5;188.5;0;0.407;0;0.077;0.429;293.692;0;0;0;-0.297;46.2;-0.165;0;0;-0.143;0.121;0;-277.5;-71.3;-90.8;101.6;-0.143
173994;-30.6;206.083;0;0.692;0;0.055;0.582;347.143;0;0;0;-0.011;183;-0.011;0;0;-0.165;0.231;0;-289.333;-133.2;-43.2;93.9;-0.253
173993;34.909;301.7;0;0.407;0;0.011;0.538;494.455;0;0;0;-0.099;89.333;0.055;0;0;-0.209;0.077;0;-276.6;-248.25;-43.5;2.375;-0.253
173991;169.143;238.909;0;0.451;0;0.121;0.582;550.75;0;0;0;-0.209;175;0.143;0;0;-0.099;0.209;0;-326;-135.75;-95.5;209.25;-0.143
173992;108.667;298.125;0;0.495;0;0.143;0.538;485.2;0;0;0;-0.011;249;0.055;0;0;-0.055;0.297;0;-316.875;-38.154;-7.4;327.5;-0.231
167199;18.5;120.5;0;0.253;0;0.055;0.253;199.333;0;0;0;-0.165;-30.429;0.066;0;0;0.209;-0.011;0;78.25;67.75;-90.5;26.167;0.033
177384;-110.444;301.727;0;0.451;0;0.011;0.451;352.5;0;0;0;-0.077;-145;-0.099;0;0;0.055;-0.165;0;-47.25;40.455;-89.222;98.667;-0.077
185533;-6.429;25.286;0;0.077;0;0.121;0.143;46.5;0;0;0;0.055;86.286;-0.011;0;0;0.297;0.132;0;33;96;39;101.6;0.231
185534;-26.182;-3.333;0;-0.011;0;0.033;-0.011;-12.5;0;0;0;-0.121;-1.143;-0.143;0;0;0.319;-0.011;0;28.75;102.625;-86.286;18.286;0.165
176027;-20.727;258.75;0;0.429;0;-0.165;0.516;376.8;0;0;0;-0.275;6.6;-0.033;0;0;-0.033;0.033;0;-56.167;-18.583;-246.25;-165;-0.077
176024;-159.417;242;0;0.495;0;-0.033;0.429;280.4;0;0;0;-0.121;-48.667;-0.099;0;0;-0.055;-0.121;0;-17.333;-45;-56.25;-125;-0.055
176026;9.556;209.25;0;0.363;0;-0.033;0.352;286;0;0;0;0.077;14;0.011;0;0;0.099;0.011;0;-27.286;112.143;47.4;-33.333;-0.077
176025;-78.25;203;0;0.319;0;-0.033;0.407;282.545;0;0;0;-0.033;-17.5;-0.011;0;0;0.055;-0.055;0;7.083;48.1;-36;-58.333;0.033
181462;46.615;27.538;0;0.143;0;0.143;-0.011;-2.167;0;0;0;0.143;-20;0.033;0;0;0.341;-0.033;0;20.545;137.571;100.4;94.333;0.187
181461;31.333;18.4;0;0.143;0;0.187;0.011;4;0;0;0;0.011;52.375;0.055;0;0;0.209;0.099;0;44.429;78;24;91.333;0.231
181460;14;12.143;0;0.077;0;0.253;0.099;7.5;0;0;0;-0.011;100.2;0.011;0;0;0.187;0.187;0;19;55.6;-6.5;158;0.099
165160;-27;300.909;0;0.341;0;-0.099;0.429;435.429;0;0;0;-0.011;-36.5;-0.121;0;0;0.055;-0.033;0;-311.111;39;-6.364;-138.545;-0.143
165161;59.25;341.75;0;0.407;0;-0.055;0.451;438.333;0;0;0;-0.055;72.143;0.011;0;0;0.143;0.055;0;-363.667;46.091;-22.364;-99.8;-0.099
167871;35;268.8;0;0.429;0;-0.011;0.473;374.25;0;0;0;0.011;121.4;0.033;0;0;0.143;0.209;0;-284.4;99.615;0.5;-46;-0.143
176710;-56.083;148.556;0;0.385;0;-0.055;0.319;208.9;0;0;0;-0.055;14.5;-0.055;0;0;-0.055;0.011;0;-68.25;-68.143;-38.182;-81;-0.121
176709;-88;131.286;0;0.429;0;0.011;0.341;220.571;0;0;0;-0.033;157.833;-0.077;0;0;0.055;0.143;0;-77.7;22.286;-9.8;0.286;-0.231
176707;-82;295.818;0;0.429;0;-0.121;0.473;463.6;0;0;0;0.011;-36.4;-0.033;0;0;0.011;-0.121;0;-11.111;10.364;12;-93.4;-0.033
176708;-55.25;171.462;0;0.319;0;-0.099;0.385;308.625;0;0;0;-0.099;3.5;-0.011;0;0;-0.099;0.033;0;-77.429;-56.286;-74.917;-40.667;-0.099
171944;8;165;0;0.341;0;0.099;0.275;202.25;0;0;0;0.055;96.6;0.011;0;0;0.253;0.099;0;-114.667;255.375;66.4;142.444;-0.165
167878;98;147.6;0;0.319;0;-0.143;0.231;123.182;0;0;0;0.077;1.333;0.143;0;0;0.099;0.011;0;197.818;75.4;23.556;-134.2;0.099
167877;175.286;276;0;0.319;0;-0.231;0.429;353.636;0;0;0;0.165;15.667;0.121;0;0;0.099;0.033;0;55.667;64.125;74.4;-101;0.055
167879;95.571;101.636;0;0.209;0;-0.143;0.231;182.727;0;0;0;-0.099;-62;0.099;0;0;0.033;-0.121;0;22.714;13.833;-69;-122;0.011
184853;36;25.833;0;0.011;0;0.165;0.055;53.417;0;0;0;0.055;46;0.143;0;0;0.275;0.099;0;27.75;114.333;20.4;102.143;0.341
164480;83.5;301.5;0;0.341;0;-0.165;0.429;542;0;0;0;0.121;153;0.099;0;0;0.253;0.165;0;69;150.25;122;-145;0.099
173990;15.143;247.818;0;0.341;0;0.099;0.495;383;0;0;0;-0.275;115.667;0.055;0;0;-0.165;0.121;0;-141.2;-172.667;-350.143;193;-0.077
173989;43.333;174.286;0;0.231;0;0.143;0.341;351;0;0;0;-0.319;-87.667;0.011;0;0;-0.143;-0.099;0;-148.375;-148.727;-438.167;240;-0.099
173988;-113;310.364;0;0.538;0;0.121;0.495;470.75;0;0;0;-0.275;-40.167;-0.055;0;0;0.011;-0.011;0;-107.111;71;-312.769;265.6;-0.033
173987;-63;323.273;0;0.451;0;0.121;0.626;520.714;0;0;0;-0.077;-70.583;-0.033;0;0;-0.055;-0.077;0;-135.1;-55.154;-144.125;153.571;-0.121
176029;-64.333;251.727;0;0.56;0;-0.033;0.67;382.077;0;0;0;-0.011;172;-0.033;0;0;-0.033;0.165;0;-45;-16;-5.5;-22.583;-0.077
176028;36;262.8;0;0.473;0;-0.165;0.56;389.636;0;0;0;0.055;-28.583;0.011;0;0;-0.165;-0.033;0;-52;-75.4;35.5;-175.111;-0.055
176030;-44.5;224;0;0.692;0;0.055;0.56;324.667;0;0;0;-0.077;134.857;-0.033;0;0;-0.033;0.187;0;-105;-36.2;-37.417;180;-0.187
176031;-43.125;154.6;0;0.495;0;0.143;0.363;186;0;0;0;-0.077;175.8;-0.011;0;0;-0.209;0.275;0;-108.667;-82.7;-100.667;255.2;-0.275
173305;14.25;151.714;0;0.275;0;0.077;0.429;254.778;0;0;0;0.011;98.333;0.011;0;0;0.077;0.165;0;24.667;81.2;14.75;155.5;0.011
169916;-53;182.857;0;0.407;0;0.143;0.385;281.667;0;0;0;-0.264;-22.875;-0.121;0;0;0;-0.011;0;-212;0;-71.333;106.273;-0.099
169915;-82;166;0;0.407;0;-0.165;0.319;249.308;0;0;0;-0.033;-5.333;-0.187;0;0;0.011;-0.011;0;-168.333;5.143;-16.5;-105.2;-0.033
169913;-48.6;125.143;0;0.297;0;-0.187;0.341;211.833;0;0;0;0.033;-6;-0.121;0;0;-0.033;-0.011;0;-250.667;-23.667;7.455;-298;-0.099
169914;-46.444;81.455;0;0.187;0;-0.187;0.319;228.75;0;0;0;-0.121;-9.429;-0.055;0;0;-0.011;-0.033;0;136.333;-6.286;-32;-88;0.011
171264;-102.25;153.857;0;0.462;0;-0.055;0.516;209;0;0;0;-0.099;-13.4;-0.055;0;0;0.143;-0.011;0;-107.4;60.143;-93.889;-61;-0.165
173312;74.429;261.7;0;0.626;0;0.055;0.385;446;0;0;0;-0.143;68.714;0.077;0;0;-0.011;0.077;0;-75;-21.556;-58;46.714;-0.077
173315;189.111;256;0;0.604;0;-0.033;0.56;443.9;0;0;0;-0.044;33.333;0.099;0;0;0.143;0.033;0;-316.333;132.75;-8.182;-54.75;-0.231
178063;-172;245.846;0;0.297;0;-0.011;0.231;250.5;0;0;0;-0.385;-39;-0.187;0;0;0.011;-0.055;0;-32.7;9.429;-323.5;-0.625;-0.121
178061;99;37.75;0;0.231;0;0.033;0.121;59.875;0;0;0;0.077;-34;0.055;0;0;0.385;-0.077;0;79.154;168.75;42.385;44;0.209
170595;-47.857;113.75;0;0.187;0;0.077;0.297;142.2;0;0;0;-0.253;-66.5;-0.121;0;0;-0.121;-0.187;0;-109.8;-99.429;-71.4;45;-0.077
170592;-182.6;174;0;0.319;0;0.121;0.429;198;0;0;0;-0.187;67.667;-0.253;0;0;-0.077;0.143;0;-170.889;-48.1;-65;127.167;-0.077
170594;-258.333;125.4;0;0.253;0;-0.077;0.253;208.75;0;0;0;-0.341;45.333;-0.319;0;0;-0.187;0.165;0;-176.583;-160.556;-201.6;-98.8;-0.077
170593;-152;69.25;0;0.231;0;-0.077;0.297;139.714;0;0;0;-0.231;52;-0.209;0;0;-0.209;0.099;0;-196.5;-215.778;-70.714;-71.2;-0.165
166519;118.417;295.364;0;0.473;0;-0.209;0.451;399.9;0;0;0;0.099;-80;0.121;0;0;0.231;-0.099;0;222;145.125;35;-196.75;0.099
166521;93.833;290.111;0;0.451;0;-0.187;0.385;453.9;0;0;0;0.132;-44.8;0.121;0;0;-0.055;-0.099;0;-352.875;-11.9;68.8;-99.25;-0.209
173308;-183.222;217;0;0.385;0;0.055;0.429;389.364;0;0;0;-0.055;-34.8;-0.077;0;0;-0.033;-0.033;0;-125.154;-55.7;-63;113.25;-0.055
173311;-0.25;187.7;0;0.319;0;0.121;0.319;321.143;0;0;0;-0.253;40.667;-0.011;0;0;-0.033;0.055;0;-177;-36.5;-183.375;285.143;-0.099
173303;6.6;144;0;0.451;0;0.165;0.495;233;0;0;0;-0.121;72;0.011;0;0;0.077;0.077;0;-172.4;74;-123.6;236.6;-0.143
178744;-85.3;303.857;0;0.451;0;0.187;0.495;282.25;0;0;0;-0.077;109.444;-0.033;0;0;-0.077;0.099;0;-41.818;-32.429;-137.333;164.833;-0.143
178745;-135.9;159.667;0;0.429;0;0.165;0.363;225.364;0;0;0;-0.165;21.6;-0.209;0;0;-0.099;0.077;0;-40.286;-35.25;-94.8;122.5;-0.165
